type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,title
white,6.4,0.32,0.5,10.7,0.047,57.0,206.0,0.9968,3.08,0.6,9.4,5,Wieninger 2012 Gemischter Satz White (Vienna)
white,6.1,0.28,0.25,6.9,0.056,44.0,201.0,0.9955,3.19,0.4,9.1,6,Castello di Monterinaldi 2011 Riserva  (Chianti Classico)
white,5.9,0.29,0.25,12.0,0.057,48.0,224.0,0.9981,3.23,0.41,9.0,6,Boeckel 2015 Réserve Pinot Blanc (Alsace)
white,5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,Kooyong 2015 Estate Pinot Noir (Mornington Peninsula)
white,5.8,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,Château de Fonbel 2011  Saint-Émilion
white,5.7,0.32,0.38,4.75,0.033,23.0,94.0,0.991,3.42,0.42,11.8,7,Fossil Point 2014 Pinot Noir (Edna Valley)
white,6.7,0.28,0.14,1.4,0.043,64.0,159.0,0.992,3.17,0.39,10.0,5,Baglio Curatolo Arini 1875 2014 Paccamora Nero d'Avola (Terre Siciliane)
white,6.8,0.34,0.69,1.3,0.058,12.0,171.0,0.9931,3.06,0.47,9.7,5,Bohigas 2015 X Xarel-lo (Catalunya)
white,5.9,0.25,0.25,11.3,0.052,30.0,165.0,0.997,3.24,0.44,9.5,6,McPherson Wine Company 2000 Murray-Darling Chardonnay (Australia)
white,6.4,0.27,0.32,4.5,0.24,61.0,174.0,0.9948,3.12,0.48,9.4,5,Hunnicutt 2006 Cabernet Sauvignon (Napa Valley)
white,8.1,0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42,11.2,5,Ferro Family Wines 2013 Sauvignon Blanc (Temecula Valley)
white,6.2,0.36,0.26,13.2,0.051,54.0,201.0,0.9976,3.25,0.46,9.0,5,Lynmar 2010 Quail Hill Vineyard Chardonnay (Russian River Valley)
white,6.8,0.22,0.35,5.5,0.043,21.0,114.0,0.9938,3.3,0.53,10.7,7,Michael Pozzan 2010 Annabella Cabernet Sauvignon (Napa County)
white,6.8,0.67,0.3,13.0,0.29,22.0,193.0,0.9984,3.08,0.67,9.0,4,Corton André 2005 Les Petites Lolières Premier Cru  (Aloxe-Corton)
white,7.2,0.28,0.3,10.7,0.044,61.0,222.0,0.9972,3.14,0.5,9.1,6,La Pitchoune 2013 Pratt Vineyard Chardonnay (Russian River Valley)
white,6.7,0.17,0.37,2.0,0.039,34.0,125.0,0.9922,3.26,0.6,10.8,7,Black Stallion 2014 Chardonnay (Napa Valley)
white,6.9,0.2,0.34,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,4,Columbia Winery 2014 Limited Release Grenache Rosé (Horse Heaven Hills)
white,6.1,0.36,0.16,6.4,0.037,36.0,198.0,0.9944,3.17,0.62,9.9,6,Redhawk 2013 Rosé Pinot Noir (Willamette Valley)
white,6.0,0.36,0.16,6.3,0.036,36.0,191.0,0.9942,3.17,0.62,9.8,5,Mont Marçal 2008 Brut Reserva Sparkling (Cava)
white,5.9,0.37,0.14,6.3,0.036,34.0,185.0,0.9944,3.17,0.63,9.8,5,Ouled Thaleb 2014 Sauvignon Blanc (Zenata)
white,7.6,0.29,0.58,17.5,0.041,51.0,225.0,0.9997,3.16,0.66,9.5,6,Staete Landt 2010 Josephine Chardonnay (Marlborough)
white,6.3,0.34,0.28,14.7,0.047,49.0,198.0,0.9977,3.23,0.46,9.5,5,Suacci Carciere Wines 2006 Heintz Vineyard Chardonnay (Russian River Valley)
white,6.7,0.19,0.34,1.0,0.022,22.0,94.0,0.9912,3.23,0.57,11.1,6,Quinta Seara d'Ordens 2012 Talentus Grande Escolha Red (Douro)
white,7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.9982,,0.6,9.5,5,La Gironda di Galandrino 2011  Brachetto d'Acqui
white,7.5,0.31,0.51,14.8,0.039,62.0,204.0,0.9982,3.06,0.6,9.5,5,Alion 2012  Ribera del Duero
white,7.4,0.31,0.48,14.2,0.042,62.0,204.0,0.9983,3.06,0.59,9.4,5,Kim Crawford 2015 Small Parcels Rise & Shine Pinot Noir (Central Otago)
white,8.4,0.4,0.7,13.1,0.042,29.0,197.0,0.998,3.06,0.64,9.7,5,Gattavecchi 2011 Poggio alla Sala  (Vino Nobile di Montepulciano)
white,5.9,0.34,0.22,2.4,0.03,19.0,135.0,0.9894,3.41,0.78,13.9,7,Stellenryck 1996 Cabernet Sauvignon (Coastal Region)
white,6.6,0.38,0.18,1.2,0.042,20.0,84.0,0.9927,3.22,0.45,10.1,4,Keuka Lake Vineyards 2007 Keuka Lec Reserve Gently Dry Riesling (Finger Lakes)
white,6.4,0.33,0.28,1.1,0.038,30.0,110.0,0.9917,3.12,0.42,10.5,6,Federico Paternina 2006 Banda Roja Reserva Red  (Rioja)
white,5.6,0.25,0.26,3.6,0.037,18.0,115.0,0.9904,3.42,0.5,12.6,6,Tamarack Cellars 2015 Firehouse Red (Columbia Valley (WA))
white,8.6,0.27,0.46,6.1,0.032,13.0,41.0,0.993,2.89,0.34,10.9,5,Luca 2013 G Lot Chardonnay (Tupungato)
white,6.2,0.31,0.21,6.3,0.041,50.0,218.0,0.9941,3.15,0.6,10.0,5,Byron 2007 Julia's Vineyard Pinot Noir (Santa Maria Valley)
white,7.2,0.18,0.45,4.4,0.046,57.0,166.0,0.9943,3.13,0.62,11.2,6,StoneCap 2010 Estate Grown Riesling (Columbia Valley (WA))
white,7.7,0.2,0.44,13.9,0.05,44.0,130.0,0.99855,3.11,0.48,10.0,6,Louis Latour 2012  Beaune
white,6.2,0.47,0.21,1.0,0.044,13.0,98.0,0.99345,3.14,0.46,9.2,5,Babcock 2007 Rita's Earth Pinot Noir (Sta. Rita Hills)
white,6.1,0.25,0.24,12.1,0.046,51.0,172.0,0.998,3.35,0.45,9.5,5,Poet's Leap 2007 Riesling (Columbia Valley (WA))
white,8.2,0.27,0.43,1.6,0.035,31.0,128.0,0.9916,3.1,0.5,12.3,6,Prospect 772 2012 The Brawler Syrah (Calaveras County)
white,8.2,0.27,0.43,1.6,0.035,31.0,128.0,0.9916,3.1,0.5,12.3,6,Kenos 2013 Cabernet Franc (Cachapoal Valley)
white,6.4,0.31,0.39,7.5,0.04,57.0,213.0,0.99475,3.32,0.43,10.0,5,Graffigna 2012 Centenario Elevation Reserve Red (San Juan)
white,6.0,0.39,0.26,2.7,0.038,39.0,187.0,0.99325,3.41,0.5,10.8,6,Marcello Turra 2015 Sassani  (Soave Classico)
white,6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,7,Cooper Mountain 2007 20th Anniversary Reserve Pinot Noir (Willamette Valley)
white,7.7,0.42,0.31,9.2,0.048,22.0,221.0,0.9969,3.06,0.61,9.2,6,Testarossa 2011 Sierra Madre Vineyard Chardonnay (Santa Maria Valley)
white,7.0,0.27,0.41,18.75,0.042,34.0,157.0,1.0002,2.96,0.5,9.1,5,Buitenverwachting 2015 Bayten Chardonnay (Constantia)
white,6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,7,St. Innocent 2014 Zenith Vineyard Pinot Noir (Eola-Amity Hills)
white,7.4,0.29,0.5,1.8,0.042,35.0,127.0,0.9937,3.45,0.5,10.2,7,Le Chateau 2008 Barbera (Columbia Valley (WA))
white,6.6,0.29,0.44,9.0,0.053,62.0,178.0,0.99685,3.02,0.45,8.9,5,Owl Ridge 2007 T.R. Passalacqua Vineyard Cabernet Sauvignon (Dry Creek Valley)
white,6.0,0.3,0.44,1.5,0.046,15.0,182.0,0.99455,3.5,0.52,10.4,5,Ruby Hill Winery 2013 Reserve Collection Chardonnay (Livermore Valley)
white,6.9,0.31,0.34,1.6,0.032,23.0,128.0,0.9917,3.37,0.47,11.7,6,Wohlmuth 2016 Ried Steinriegl Gelber Muskateller (Südsteiermark)
white,6.6,0.33,0.31,1.3,0.02,29.0,89.0,0.99035,3.26,0.44,12.4,8,James Family Cellars 2008 Mounts Vineyard Syrah (Dry Creek Valley)
white,7.8,0.3,0.4,1.8,0.028,23.0,122.0,0.9914,3.14,0.39,10.9,7,Ferrari 2002 Perlè Chardonnay (Trento)
white,6.4,0.39,0.21,1.2,0.041,35.0,136.0,0.99225,3.15,0.46,10.2,5,Planeta 2011 Carricante (Sicilia)
white,6.4,0.24,0.31,2.8,0.038,41.0,114.0,0.99155,3.37,0.66,11.7,7,Mission Estate 2010 Syrah (Hawke's Bay)
white,7.0,0.21,0.34,8.0,0.057,19.0,101.0,0.9954,2.99,0.59,9.4,5,Sobon Estate 2012 Rocky Top Zinfandel (Amador County)
white,6.4,0.16,0.31,5.3,0.043,42.0,157.0,0.99455,3.35,0.47,10.5,5,Alidis 2009 Reserva  (Ribera del Duero)
white,6.0,0.33,0.27,0.8,0.185,12.0,188.0,0.9924,3.12,0.62,9.4,5,San Juan Vineyards 2006 Siegerrebe (Puget Sound)
white,6.5,0.23,0.33,13.8,0.042,25.0,139.0,0.99695,3.35,0.56,10.4,6,Maria Casanovas NV Glaç Brut Nature Sparkling (Cava)
white,6.2,0.25,0.48,10.0,0.044,78.0,240.0,0.99655,3.25,0.47,9.5,6,Château Mézain 2013  Bordeaux
white,8.8,0.28,0.45,6.0,0.022,14.0,49.0,0.9934,3.01,0.33,11.1,7,Castelli del Grevepesa 2008 Panzano  (Chianti Classico)
white,6.6,0.25,0.3,14.4,0.052,40.0,183.0,0.998,3.02,0.5,9.1,6,Teso La Monja 2009 Alabaster  (Toro)
white,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,3.28,0.61,9.2,5,Perelada 2011 Finca Espolla Red (Empordà)
white,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,6,Aldegheri 1995  Amarone della Valpolicella
white,6.6,0.25,0.3,14.4,0.052,40.0,183.0,0.998,3.02,0.5,9.1,6,Wait Cellars 2013 Pinot Noir (Russian River Valley)
white,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,3.28,0.61,9.2,5,Matanzas Creek 2012 Chardonnay (Sonoma County)
white,7.1,0.21,0.31,3.8,0.021,40.0,142.0,0.99215,3.17,0.39,10.8,7,Domäne Wachau 2013 Terrrassen Beerenauslese White (Wachau)
white,6.4,0.25,0.3,5.5,0.038,15.0,129.0,0.9948,3.14,0.49,9.6,6,Leaping Horse 2014 Cabernet Sauvignon (California)
white,6.9,0.39,0.4,4.6,0.022,5.0,19.0,0.9915,3.31,0.37,12.6,3,Château du Donjon 2016 Rosé (Minervois)
white,5.8,0.2,0.3,1.5,0.031,21.0,57.0,0.99115,3.44,0.55,11.0,6,Haut Marin 2010 Cuvée Marine White (Côtes de Gascogne)
white,7.0,0.2,0.37,2.0,0.03,26.0,136.0,0.9932,3.28,0.61,10.2,6,Indomita 2013 Duette Premium Cabernet Sauvignon-Carmenère (Maipo Valley)
white,5.9,0.26,0.25,12.5,0.034,38.0,152.0,0.9977,3.33,0.43,9.4,5,Ravoire et Fils 2016 Domaine Saint Ferréol Les Vaunières Rosé (Coteaux Varois en Provence)
white,7.4,0.38,0.27,7.5,0.041,24.0,160.0,0.99535,3.17,0.43,10.0,5,Sartori 2006 I Saltari Le Vigne di Turano  (Valpolicella Superiore)
white,7.4,0.2,1.66,2.1,0.022,34.0,113.0,0.99165,3.26,0.55,12.2,6,Iron Horse 2003 Joy! Estate Bottled Sparkling (Green Valley)
white,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,6,Torii Mor 2010 Nysa Vineyard Pinot Noir (Dundee Hills)
white,7.2,0.29,0.4,7.6,,56.0,177.0,0.9928,3.04,0.32,11.5,6,I Favati 2010 Trezotratto Etichetta Bianca Riserva  (Taurasi)
white,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,3.3,0.54,9.8,6,Erste Neue 2009 Puntay Gewürztraminer (Alto Adige)
white,7.3,0.3,0.42,7.35,0.025,51.0,175.0,0.9928,3.04,0.32,11.4,6,Fournier Père et Fils 2015 Les Belles Vignes  (Sancerre)
white,7.2,0.29,0.4,7.6,0.024,56.0,177.0,0.9928,3.04,0.32,11.5,6,Cantine Sant'Agata 2007 Pro Nobis  (Ruché di Castagnole Monferrato)
white,6.9,0.2,0.5,10.0,0.036,78.0,167.0,0.9964,3.15,0.55,10.2,6,Rutherford Ranch 2014 Reserve Chardonnay (Carneros-Napa Valley)
white,6.7,0.2,0.42,14.0,0.038,83.0,160.0,0.9987,3.16,0.5,9.4,6,Rattalino 2011 Quarantacinque Riserva  (Barbaresco)
white,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56,10.5,6,Brokenwood 2012 Semillon (Hunter Valley)
white,5.9,0.35,0.47,2.2,0.11,14.0,138.0,0.9932,3.09,0.5,9.1,5,Bodegas Muriel 2009 Vendimia Seleccionada Selección  (Rioja)
white,7.1,0.28,0.44,1.8,0.032,32.0,107.0,0.9907,3.25,0.48,12.2,7,Altos del Cuco 2007 Red (Yecla)
white,5.8,0.25,0.28,11.1,0.056,45.0,175.0,0.99755,3.42,0.43,9.5,5,Paul Cheneau NV Blanc de Blancs Brut Reserva Sparkling (Cava)
white,6.8,0.22,0.37,15.2,0.051,68.0,178.0,0.99935,3.4,0.85,9.3,6,Inspiration 2014 Syrah (Dry Creek Valley)
white,7.1,0.14,0.4,1.2,0.051,55.0,136.0,0.9932,3.3,0.96,9.8,7,Tenuta di Lilliano 2005 Riserva  (Chianti Classico)
white,7.1,0.13,0.4,1.2,0.047,54.0,134.0,0.9932,3.3,0.97,9.8,7,Cosentino 2009 The Chard Chardonnay (California)
white,6.9,0.18,0.38,8.1,0.049,44.0,176.0,0.9958,3.3,0.54,9.8,6,Finca Sophenia 2009 Altosur Sauvignon Blanc (Tupungato)
white,7.0,0.2,0.38,8.1,0.05,42.0,173.0,0.99585,3.3,0.54,9.8,6,Paul Jaboulet Aîné 2014 Domaine des Grands Amandiers  (Condrieu)
white,6.8,0.24,0.49,19.3,0.057,55.0,247.0,1.00055,3.0,0.56,8.7,5,Rivetti Massimo 2005 Froi  (Barbaresco)
white,5.0,0.44,0.04,18.6,0.039,38.0,128.0,0.9985,3.37,0.57,10.2,6,Domaine Fernand Engel 2010 Trilogie Dosage Zero Sparkling (Crémant d'Alsace)
white,6.3,0.3,0.28,5.0,0.042,36.0,168.0,0.99505,3.22,0.69,9.5,6,Revana 2004 Cabernet Sauvignon (St. Helena)
white,7.2,0.27,0.42,1.6,0.05,35.0,135.0,0.992,2.94,0.46,11.0,6,Columbia Crest 2012 Reserve Chardonnay (Horse Heaven Hills)
white,6.7,0.5,0.63,13.4,0.078,81.0,238.0,0.9988,3.08,0.44,9.2,5,Hunnicutt 2011 Fearless Red (Napa Valley)
white,6.8,0.2,0.36,1.6,0.028,7.0,46.0,0.99175,3.21,0.6,10.9,6,Adams Bench 2008 Reckoning Red (Columbia Valley (WA))
white,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,7,Viszlay Vineyards 2011 Winemaker's Reserve Malbec (Russian River Valley)
white,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3,7,Husch 2010 Pinot Noir (Anderson Valley)
white,6.8,0.12,0.31,5.2,0.045,29.0,120.0,0.9942,3.41,0.46,9.8,7,Cave du Marmandais 2011 Château de la Côte de France Red (Côtes du Marmandais)
white,6.6,0.16,0.57,1.1,0.13,58.0,140.0,0.9927,3.12,0.39,9.3,7,Escarpment 2014 Pahi Single Vineyard Pinot Noir (Martinborough)
white,6.6,0.21,0.6,1.1,0.135,61.0,144.0,0.9927,3.12,0.39,9.3,7,Wilderotter 2013 Estate Barbera (Shenandoah Valley (CA))
white,6.1,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45,9.4,5,Querceto di Castellina 2008 L'Aura  (Chianti Classico)
white,9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,3.2,0.46,10.4,9,Vallana 2010  Boca
white,6.4,0.225,0.48,2.2,0.115,29.0,104.0,0.9918,3.24,0.58,12.1,6,Winzer Krems 2013 Kremser Sandgrube Grüner Veltliner (Kremstal)
white,8.3,0.14,0.45,1.5,0.039,18.0,98.0,0.99215,3.02,0.56,11.0,6,Gustave Lorentz 2011 Schofweg Pinot Gris (Alsace)
white,7.2,0.23,0.19,13.7,0.052,47.0,197.0,0.99865,3.12,0.53,9.0,5,Sieber Rd 2006 Ernest Shiraz (Barossa Valley)
white,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,7,Williams Selyem 2015 Westside Road Neighbors Pinot Noir (Russian River Valley)
white,8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,8,Château Beaumont 2011  Haut-Médoc
white,6.0,0.395,0.0,1.4,0.042,7.0,55.0,0.99135,3.37,0.38,11.2,4,Biltmore Estate NV Brut Sparkling (California)
white,7.8,0.29,0.22,9.5,0.056,44.0,213.0,0.99715,3.08,0.61,9.3,6,Ca'Romè 2011 Rapet  (Barbaresco)
white,6.9,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,7,Tenute Orestiadi 2016 Bio Grillo (Terre Siciliane)
white,8.1,0.17,0.44,14.1,0.053,43.0,145.0,1.0006,3.28,0.75,8.8,8,Château Pierrousselle 2013  Bordeaux
white,7.2,0.23,0.19,13.7,0.052,47.0,197.0,0.99865,3.12,0.53,9.0,5,Stephen Ross 2010 Pinot Noir (Santa Lucia Highlands)
white,7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,3.27,0.3,9.3,6,La Vuelta 2010 Malbec (Mendoza)
white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,6,Ambrogio e Giovanni Folonari 2013 Cabreo Il Borgo Red (Toscana)
white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,6,Chime 2013 Pinot Noir (Carneros)
white,5.8,0.34,0.16,7.0,0.037,26.0,116.0,0.9949,3.46,0.45,10.0,7,Dirler-Cadé 2008 Belzbrunnen Riesling (Alsace)
white,7.6,0.3,0.27,10.6,0.039,31.0,119.0,0.99815,3.27,0.3,9.3,6,Santa Cruz Mountain Vineyard 2012 Luchessi Vineyard Cabernet Sauvignon (Santa Cruz Mountains)
white,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2,6,Château Graville-Lacoste 2012  Graves
white,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,7,Bindi Sergardi 2012 La Ghirlanda  (Chianti Classico)
white,6.4,0.46,0.08,4.9,0.046,34.0,144.0,0.99445,3.1,0.56,10.0,5,Valdubón 2007 Reserva  (Ribera del Duero)
white,5.9,0.24,0.3,2.0,0.033,28.0,92.0,0.99225,3.39,0.69,10.9,7,Stanton Vineyard 2012 Pinot Noir (Willamette Valley)
white,7.4,0.32,0.27,1.4,0.049,38.0,173.0,0.99335,3.03,0.52,9.3,5,Ravenswood 2005 Pickberry Vineyards Merlot (Sonoma Mountain)
white,7.2,0.31,0.26,7.3,0.05,37.0,157.0,0.99625,3.09,0.43,9.0,5,Tricky Rabbit 2014 Reserva Sauvignon Blanc-Carménère White (Maule Valley)
white,7.8,0.42,0.23,8.8,0.054,42.0,215.0,0.9971,3.02,0.58,9.2,6,Begali 2008 La Cengia  (Valpolicella Classico Superiore Ripasso)
white,6.9,0.24,0.33,12.5,0.046,47.0,153.0,0.9983,3.28,0.77,9.6,6,Barefoot Cellars NV Merlot (California)
white,5.4,0.18,0.24,4.8,0.041,30.0,113.0,0.99445,3.42,0.4,9.4,6,Palacios Remondo 2010 Propiedad  (Rioja)
white,6.0,0.18,0.31,1.4,0.036,14.0,75.0,0.99085,3.34,0.58,11.1,8,Ross-idi 2014 Nikolaevo Unison Chardonnay-Gewürtztraminer White
white,7.8,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,3.06,0.41,8.9,6,Prunotto 2009  Barbaresco
white,6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,3.19,0.47,9.3,5,Joseph Perrier NV Cuvée Royale Brut Blanc de Blancs Chardonnay (Champagne)
white,6.8,0.39,0.35,11.6,0.044,57.0,220.0,0.99775,3.07,0.53,9.3,5,Neudorf 2007 Moutere Chardonnay (Nelson)
white,6.6,0.21,0.31,11.4,0.039,46.0,165.0,0.99795,3.41,0.44,9.8,7,Rideau 2014 Sierra Madre Vineyard Chardonnay (Santa Maria Valley)
white,7.3,0.32,0.34,6.6,0.032,24.0,112.0,0.99505,3.22,0.46,9.8,6,Jean-Paul Brun 2015  Morgon
white,7.8,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,3.06,0.41,8.9,6,Umani Ronchi 2004 Cúmaro Riserva  (Conero)
white,6.4,0.31,0.26,13.2,0.046,57.0,205.0,0.9975,3.17,0.41,9.6,5,Santa Helena 2014 Reserva Merlot (Central Valley)
white,6.2,0.29,0.26,13.1,0.046,55.0,204.0,0.99745,3.16,0.41,9.6,6,Wilridge 2013 Mélange Noir Estate Wilridge Vineyard Red (Naches Heights)
white,6.0,0.39,0.17,12.0,0.046,65.0,246.0,0.9976,3.15,0.38,9.0,6,Stift Klosterneuburg 2015 Zierfandler-Rotgipfler (Thermenregion)
white,6.2,0.3,0.26,13.4,0.046,57.0,206.0,0.99775,3.17,0.43,9.5,6,Cameron Hughes 2008 Lot 208 Cabernet Sauvignon-Syrah (Napa Valley)
white,6.0,0.28,0.49,6.8,0.048,61.0,222.0,0.9953,3.19,0.47,9.3,5,Basalt 2012 Syrah (Columbia Valley (WA))
white,6.0,0.41,0.05,1.5,0.063,17.0,120.0,0.9932,3.21,0.56,9.2,6,Haras 2007 Estate Chardonnay (Maipo Valley)
white,6.4,,0.28,1.1,0.055,9.0,160.0,0.99405,3.42,0.5,9.1,7,San Carlo 2011  Brunello di Montalcino
white,6.5,0.26,0.32,16.5,0.045,44.0,166.0,1.0,3.38,0.46,9.5,6,Isidoro Polencic 2014 Pinot Grigio (Collio)
white,7.9,0.35,0.24,15.6,0.072,44.0,229.0,0.99785,3.03,0.59,10.5,6,Vasse River 2005 Shiraz (Margaret River)
white,6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,3.01,0.46,9.0,5,Nederburg 2015 The Young Airhawk Wooded Sauvignon Blanc (Western Cape)
white,8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,3.16,0.52,11.7,5,Plantagenet 2008 Shiraz (Mount Barker)
white,6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,3.2,0.51,9.1,5,Pasqua 2015 Villa Borghetti  (Soave)
white,6.2,0.3,0.17,2.8,0.04,24.0,125.0,0.9939,3.01,0.46,9.0,5,Paumanok 2013 Merlot (North Fork of Long Island)
white,6.6,0.56,0.22,8.9,0.034,27.0,133.0,0.99675,3.2,0.51,9.1,5,Acordeón 2010 Torrontés (Cafayate)
white,6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.98965,3.41,0.61,12.4,9,Lynmar 2014 Old Vines Quail Hill Vineyard Pinot Noir (Russian River Valley)
white,7.3,0.655,0.2,10.2,0.071,28.0,212.0,0.9971,2.96,0.58,9.2,6,Château Lamarque 2012 Barrel Sample  (Haut-Médoc)
white,6.8,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,3.3,0.43,9.4,5,Gemma 2013  Barbaresco
white,6.7,0.19,0.23,6.2,0.047,36.0,117.0,0.9945,3.34,0.43,9.6,6,Testarossa 2006 Fritschen Vineyard Pinot Noir (Russian River Valley)
white,8.4,0.18,0.42,5.1,0.036,7.0,77.0,0.9939,3.16,0.52,11.7,5,Jarvis 2011 Estate Grown Cave Fermented Tempranillo (Napa Valley)
white,7.0,0.21,0.37,7.2,0.042,36.0,167.0,0.9958,3.26,0.56,9.8,6,The Divining Rod 2012 Cabernet Sauvignon (Alexander Valley)
white,6.8,0.25,0.38,8.1,0.046,24.0,155.0,0.9956,3.33,0.59,10.2,6,Kuentz-Bas NV Trois Châteaux Brut Sparkling (Crémant d'Alsace)
white,7.4,0.24,0.36,2.0,0.031,27.0,139.0,0.99055,3.28,0.48,12.5,9,Santa Julia 2007 Merlot (Mendoza)
white,7.1,0.16,0.36,10.7,0.044,20.0,90.0,0.9959,3.16,0.44,10.9,7,Fable Mountain 2012 Syrah (Tulbagh)
white,7.1,0.16,0.36,1.2,0.043,21.0,90.0,0.9925,3.16,0.42,11.0,7,Anciano 2009 Reserva 5 Years Tempranillo (Valdepeñas)
white,7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,6,Aveleda 2011 Alvarinho (Minho)
white,7.4,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,4,Teruzzi & Puthod 2006 Terre di Tufi White (Toscana)
white,7.3,0.3,0.34,2.7,0.044,34.0,108.0,0.99105,3.36,0.53,12.8,8,Baron Knyphausen 2011 Erbacher Hohenrain Erste Lage Riesling (Rheingau)
white,6.9,0.25,0.34,1.3,0.035,27.0,82.0,0.99045,3.18,0.44,12.2,6,Damalisco 2009 Crianza  (Toro)
white,7.3,0.205,0.31,1.7,0.06,34.0,110.0,0.9963,3.72,0.69,10.5,6,Wild Coyote 2009 Prankster Merlot (Paso Robles)
white,7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,3.14,0.45,12.8,8,Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA))
white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8,Nativ 2013 Aglianico (Irpinia)
white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8,Planeta 2010 Rosé (Sicilia)
white,7.3,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8,Alion 2009  Ribera del Duero
white,7.5,0.34,0.35,6.0,0.034,12.0,126.0,0.9924,3.16,0.39,12.0,7,Midnight 2012 Nocturne Syrah (Paso Robles)
white,7.6,0.33,0.35,6.3,0.036,12.0,126.0,0.9924,3.16,0.39,12.0,7,Cava d'Onice 2010 Riserva  (Brunello di Montalcino)
white,8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,3.12,0.47,8.8,7,Fattoi 2007 Riserva  (Brunello di Montalcino)
white,8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,3.12,0.47,8.8,7,Georges Vigouroux 2011 Château de Haute-Serre Icône Wow Malbec (Cahors)
white,6.9,0.19,0.35,1.7,0.036,33.0,101.0,0.99315,3.21,0.54,10.8,7,Pascual Toso 2010 Magdalena Toso Limited 20 Barrels Malbec-Cabernet Sauvignon (Mendoza)
white,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,8,Carr 2007 Syrah (Santa Barbara County)
white,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,8,McGregor 2011 Cabernet Sauvignon (Finger Lakes)
white,6.6,0.22,0.37,15.4,0.035,62.0,153.0,0.99845,3.02,0.4,9.3,5,Caposaldo NV Brut  (Prosecco del Veneto)
white,9.2,0.34,0.27,1.2,0.026,17.0,73.0,0.9921,3.08,0.39,10.8,5,Patrimony 2013 Cabernet Sauvignon (Adelaida District)
white,8.7,0.23,0.32,13.4,0.044,35.0,169.0,0.99975,3.12,0.47,8.8,7,Domaine des Elephants 2014 Sauvignon Blanc (Touraine)
